--- scanner 0 ---
878,-830,-633
-654,579,583
-297,520,-671
-288,418,-607
927,-707,-599
834,-770,492
65,-56,25
662,392,-584
-635,672,759
-286,-837,-550
943,-732,-680
868,-851,577
845,-735,422
757,441,-546
417,377,639
-422,-920,-556
-379,503,-529
-358,-887,-535
-557,695,590
-469,-715,623
421,350,460
727,244,-543
-524,-657,716
530,386,541
-516,-654,485

--- scanner 1 ---
-576,568,-812
657,415,-415
697,-697,-764
-768,-701,-757
133,21,23
660,-634,-685
531,764,612
-693,-514,675
625,435,-393
-505,429,-811
-732,-827,-754
-751,-553,759
585,424,-332
406,869,566
-345,414,781
-452,446,-773
437,881,577
-667,-527,862
592,-509,865
572,-544,667
796,-712,-731
-466,394,764
-793,-859,-721
-424,469,687
546,-522,796

--- scanner 2 ---
496,419,871
517,-648,-341
-373,-342,699
610,-470,865
-405,433,-478
635,-489,683
591,-554,-342
-523,457,-377
480,382,833
-383,339,809
796,849,-470
576,-541,-376
-529,382,821
-359,-444,565
-657,-489,-782
-660,462,-493
-701,-484,-738
-444,333,689
736,800,-551
440,430,856
-749,-542,-720
628,771,-522
-84,45,31
-354,-473,697
655,-447,812

--- scanner 3 ---
-585,-799,-407
-8,3,-15
-352,263,-798
648,-897,-545
807,594,858
949,398,-473
-550,462,970
939,-728,848
923,450,-605
-370,-983,687
-320,-899,708
-678,-623,-426
-701,-792,-504
134,-80,61
-425,479,834
651,-666,-537
906,-869,727
906,647,784
-301,457,941
709,-759,-592
-338,-971,589
-326,308,-768
-271,271,-719
957,-780,619
905,310,-592
902,471,898

--- scanner 4 ---
-344,-650,707
-19,-55,-144
-475,295,231
-790,471,-694
634,400,-574
-387,-696,643
526,-976,-868
737,-562,293
-362,-790,-599
649,528,271
783,305,-610
-348,-610,641
827,579,241
649,-550,431
20,-194,-1
-548,230,315
726,671,262
-513,246,239
699,-549,494
601,-874,-967
621,381,-566
600,-977,-919
-756,576,-753
-389,-745,-695
-411,-777,-544
-712,472,-707

--- scanner 5 ---
-736,-631,547
489,543,-764
-658,-613,524
-765,344,314
474,-482,585
-588,530,-365
-589,305,-401
443,401,516
376,-573,506
594,481,-777
-688,-591,744
-519,362,-375
-728,347,358
442,-612,670
-657,447,279
434,-736,-722
645,623,-783
-13,-133,-116
-758,-472,-812
-651,-534,-759
-805,-505,-654
418,-677,-730
407,437,584
-149,-18,22
485,-643,-827
272,461,520

--- scanner 6 ---
457,-689,-751
394,-366,777
7,-79,-26
-346,-410,-447
492,343,394
64,50,92
-432,487,345
328,-665,-703
329,-753,-802
-568,-783,674
-347,611,-432
-361,477,-330
508,305,431
-628,-604,616
-504,-588,665
452,320,442
-425,-374,-325
667,364,-435
-465,-527,-427
647,493,-477
391,-438,763
-517,355,394
345,-455,661
-371,367,351
622,311,-458
-342,479,-461

--- scanner 7 ---
240,-368,494
553,641,-895
-844,-774,775
-158,152,27
604,463,-925
-808,-665,694
257,746,637
-582,876,794
-564,874,680
295,-496,433
502,-255,-850
-524,591,-672
336,-262,-791
-887,-673,-732
496,-283,-694
276,755,723
233,780,826
-537,896,707
-16,-5,-83
-869,-640,-763
292,-328,445
-525,641,-735
-817,-778,596
-959,-707,-833
-537,553,-873
696,564,-904

--- scanner 8 ---
-138,-81,-56
441,422,-748
-613,-753,-567
-711,-766,-679
471,430,517
469,-785,640
-736,-746,-682
-467,333,-521
-837,485,476
574,-437,-615
-838,-845,533
436,232,537
454,235,-722
630,-503,-471
-869,-867,440
-875,-814,670
449,301,491
-942,531,351
-487,316,-400
477,-764,674
480,338,-806
569,-466,-398
-954,520,382
-542,410,-479
539,-822,685

--- scanner 9 ---
467,-625,-603
-669,564,-709
-847,-826,-623
652,-665,691
-836,-756,-658
555,-658,807
-738,641,-734
-640,530,-730
-532,-707,498
467,444,-799
261,397,458
-419,-609,489
-490,820,347
522,-532,-545
454,584,-817
-557,750,437
586,532,-843
-870,-671,-739
514,-763,-542
-524,719,419
-98,20,18
-423,-788,462
340,405,377
291,442,432
633,-489,784

--- scanner 10 ---
716,-305,-787
837,-330,-928
888,-497,410
-835,-736,-589
-726,396,-816
105,27,-108
-269,644,397
-783,-776,-540
-719,467,-739
-739,-842,696
-8,-46,23
683,628,-464
-579,-821,599
-354,666,310
393,435,700
912,-501,603
714,514,-397
810,-320,-849
487,494,578
-339,704,339
895,-524,455
-704,404,-846
424,551,688
-780,-608,-528
692,689,-364
-573,-849,755

--- scanner 11 ---
-324,527,757
608,-702,-558
429,818,379
582,-495,715
-341,737,-607
-796,-621,820
-880,-642,770
-868,-740,802
597,-658,-369
-453,503,805
572,409,-620
560,-388,839
565,-359,590
-483,-797,-347
536,-739,-501
-390,826,-723
-387,754,-709
508,604,-611
-41,-143,24
-418,-868,-393
-325,439,856
36,43,-57
469,665,481
350,782,501
-394,-779,-323
632,588,-562

--- scanner 12 ---
-866,-426,-688
486,-659,807
-935,-385,-780
-686,-505,394
662,-480,-583
816,333,564
534,365,-598
-696,619,400
767,325,526
-694,783,523
757,-516,-732
391,356,-675
-924,-312,-703
-50,27,6
591,-600,841
590,-613,763
-723,-341,410
483,335,-776
-424,345,-345
-685,728,577
681,-472,-570
-557,-447,419
832,409,599
-370,343,-406
-382,333,-397

--- scanner 13 ---
-578,-856,613
-609,-874,646
744,-939,-717
473,-481,439
-508,-946,680
792,-836,-716
391,419,-696
-38,-154,-175
499,-592,313
-550,349,235
-491,515,228
-416,617,-490
382,488,294
399,438,-683
-437,709,-591
435,343,-534
-105,-7,-65
475,517,354
-647,509,256
-606,-512,-668
-669,-511,-618
362,514,220
693,-938,-791
-446,566,-668
-468,-524,-580
556,-552,297

--- scanner 14 ---
-757,815,582
-2,58,9
-515,-401,595
-371,445,-483
637,752,-662
8,-94,-131
723,-646,-779
-582,817,681
655,514,402
-453,-455,594
-442,-349,665
-521,-349,-553
-393,472,-510
-487,-325,-364
616,678,468
